# 带误差线柱状图数据输入模板
# 误差线类型: SE(标准误差), SD(标准差), CI95(95%置信区间), CI99(99%置信区间), 2SE(2倍标准误差), ASYMMETRIC(非对称误差线)
# 非对称误差线格式: Error_Bar_Upper/Error_Bar_Lower (例如: 1.5/0.8)
# 请在Error_Type行中明确标注误差线类型

Baseline,Indicator1,Indicator2,Indicator3,Indicator4
Mean,10.5,15.2,12.8,18.3
Error_Bar,1.2,2.1/1.8,0.9,2.5
Error_Type,SE,ASYMMETRIC,SD,CI95
Sample_Size,30,25,35,28

Intervention,Indicator1,Indicator2,Indicator3,Indicator4
Mean,12.3,18.7,14.2,21.1
Error_Bar,1.5,3.2/2.1,1.1,2.8
Error_Type,SE,ASYMMETRIC,SD,CI95
Sample_Size,30,25,35,28
